Stock Name,close,date,high,low,month,open,volume,source_file,Stock,Sector,Daily_Return,Volatility (%)
TRENT,4969.45,,5047.35,4920.0,2024-06,5025.0,417996,2024-06-10_05-30-00.yaml,extracted_stock_data,,0.0009769165693105,2.7406719066166807
TRENT,4969.45,,5047.35,4920.0,2024-06,5025.0,417996,2024-06-10_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.895746968252901
TRENT,4906.6,,5010.0,4884.7,2024-06,5009.0,512441,2024-06-11_05-30-00.yaml,extracted_stock_data,,-0.0126472748493292,2.9680215280324376
TRENT,4906.6,,5010.0,4884.7,2024-06,5009.0,512441,2024-06-11_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.028432468404571
TRENT,5028.05,,5089.35,4909.05,2024-06,4945.0,954491,2024-06-12_05-30-00.yaml,extracted_stock_data,,0.0247523743529123,3.1955477458296317
TRENT,5028.05,,5089.35,4909.05,2024-06,4945.0,954491,2024-06-12_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.3306554507231376
TRENT,5023.85,,5188.0,4972.05,2024-06,5188.0,932377,2024-06-13_05-30-00.yaml,extracted_stock_data,,-0.0008353138890822,3.457712917627896
TRENT,5023.85,,5188.0,4972.05,2024-06,5188.0,932377,2024-06-13_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.564282447267411
TRENT,5245.55,,5294.0,5040.0,2024-06,5050.05,1424125,2024-06-14_05-30-00.yaml,extracted_stock_data,,0.0441295022741523,3.946367372950792
TRENT,5245.55,,5294.0,5040.0,2024-06,5050.05,1424125,2024-06-14_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,4.257120288080737
TRENT,5357.6,,5452.0,5205.0,2024-06,5299.0,1247457,2024-06-18_05-30-00.yaml,extracted_stock_data,,0.0213609631020579,4.658260349697393
TRENT,5357.6,,5452.0,5205.0,2024-06,5299.0,1247457,2024-06-18_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,4.976500710622949
TRENT,5356.8,,5402.0,5288.4,2024-06,5374.95,707909,2024-06-19_05-30-00.yaml,extracted_stock_data,,-0.0001493205913095,5.18101469948483
TRENT,5356.8,,5402.0,5288.4,2024-06,5374.95,707909,2024-06-19_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,5.324930487531122
TRENT,5337.15,,5422.0,5305.05,2024-06,5374.9,516737,2024-06-20_05-30-00.yaml,extracted_stock_data,,-0.0036682347670251,5.439462738552829
TRENT,5337.15,,5422.0,5305.05,2024-06,5374.9,516737,2024-06-20_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,5.512163665793184
TRENT,5266.35,,5353.85,5200.0,2024-06,5337.15,638917,2024-06-21_05-30-00.yaml,extracted_stock_data,,-0.0132655068716448,5.473476022315936
TRENT,5266.35,,5353.85,5200.0,2024-06,5337.15,638917,2024-06-21_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,5.402966941662143
TRENT,5395.75,,5440.0,5200.0,2024-06,5266.35,543826,2024-06-24_05-30-00.yaml,extracted_stock_data,,0.0245710976292876,5.295242531599114
TRENT,5395.75,,5440.0,5200.0,2024-06,5266.35,543826,2024-06-24_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,5.126520696115332
TRENT,5338.8,,5459.0,5304.05,2024-06,5440.5,559045,2024-06-25_05-30-00.yaml,extracted_stock_data,,-0.0105546031598943,4.984657602388061
TRENT,5338.8,,5459.0,5304.05,2024-06,5440.5,559045,2024-06-25_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,4.7991876315777855
TRENT,5363.8,,5395.0,5260.0,2024-06,5345.0,578724,2024-06-26_05-30-00.yaml,extracted_stock_data,,0.004682700232262,4.386944106568581
TRENT,5363.8,,5395.0,5260.0,2024-06,5345.0,578724,2024-06-26_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.866282871340898
TRENT,5329.0,,5387.0,5303.75,2024-06,5360.0,900729,2024-06-27_05-30-00.yaml,extracted_stock_data,,-0.0064879376561393,3.789007070635808
TRENT,5329.0,,5387.0,5303.75,2024-06,5360.0,900729,2024-06-27_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.69006693258708
TRENT,5479.85,,5509.0,5358.55,2024-06,5360.0,970080,2024-06-28_05-30-00.yaml,extracted_stock_data,,0.0283073747419779,3.6444865775712807
TRENT,5479.85,,5509.0,5358.55,2024-06,5360.0,970080,2024-06-28_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.556409027074986
TRENT,5515.65,,5555.0,5380.0,2024-07,5500.0,544030,2024-07-01_05-30-00.yaml,extracted_stock_data,,0.0065330255390201,3.5570483744710715
TRENT,5515.65,,5555.0,5380.0,2024-07,5500.0,544030,2024-07-01_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.522010521865139
TRENT,5535.9,,5568.55,5460.0,2024-07,5515.0,428098,2024-07-02_05-30-00.yaml,extracted_stock_data,,0.0036713714612057,3.4738638419086367
TRENT,5535.9,,5568.55,5460.0,2024-07,5515.0,428098,2024-07-02_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,3.387131441853102
TRENT,5494.1,,5577.75,5460.05,2024-07,5560.0,355297,2024-07-03_05-30-00.yaml,extracted_stock_data,,-0.0075507144276448,3.1367186055262217
TRENT,5494.1,,5577.75,5460.05,2024-07,5560.0,355297,2024-07-03_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.819661713401861
TRENT,5597.45,,5620.0,5493.75,2024-07,5548.0,440575,2024-07-04_05-30-00.yaml,extracted_stock_data,,0.0188110882583134,2.724058656855355
TRENT,5597.45,,5620.0,5493.75,2024-07,5548.0,440575,2024-07-04_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.5767947909903945
TRENT,5619.9,,5644.45,5535.0,2024-07,5560.0,362427,2024-07-05_05-30-00.yaml,extracted_stock_data,,0.0040107548973193,2.385129153837726
TRENT,5619.9,,5644.45,5535.0,2024-07,5560.0,362427,2024-07-05_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.114967477337699
TRENT,5594.25,,5665.0,5572.0,2024-07,5661.2,273130,2024-07-08_05-30-00.yaml,extracted_stock_data,,-0.0045641381519243,2.107557002303859
TRENT,5594.25,,5665.0,5572.0,2024-07,5661.2,273130,2024-07-08_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.077555736852136
TRENT,5592.85,,5634.6,5550.0,2024-07,5607.2,313079,2024-07-09_05-30-00.yaml,extracted_stock_data,,-0.0002502569602715,2.116944261772858
TRENT,5592.85,,5634.6,5550.0,2024-07,5607.2,313079,2024-07-09_05-30-00.yaml,extracted_stock_data_with_sector,,0.0,2.145446067288216
